,Date,Tweet,Sentiment_Score
121,2016-06-14,"'RT @marketexclusive: Apple Inc. (NASDAQ:AAPL) Plans To Enter The Energy Sector https://t.co/qq8CXFlQXK $AAPL, $GOOGL'",0.0
122,2016-06-14,"'RT @marketexclusive: Apple Inc. (NASDAQ:AAPL) Plans To Enter The Energy Sector https://t.co/qq8CXFlQXK $AAPL, $GOOGL'",0.0
123,2016-06-14,"'RT @marketexclusive: Apple Inc. (NASDAQ:AAPL) Plans To Enter The Energy Sector https://t.co/qq8CXFlQXK $AAPL, $GOOGL'",0.0
124,2016-06-14,"'RT @marketexclusive: Apple Inc. (NASDAQ:AAPL) Plans To Enter The Energy Sector https://t.co/qq8CXFlQXK $AAPL, $GOOGL'",0.0
125,2016-06-14,"'FB Facebook, Inc. Yield\rhttps://t.co/jcgdU7wTr0\r\r$FB $IYT $GOOGL $CEU.TO  #stockmarket #investing'",0.0
126,2016-06-14,"""RT @GoogleInvestor: Google's Tensor Processing Unit Could Advance Moore's Law by 7 Years\rhttps://t.co/wIQ4X1p6j0\r$GOOGL #TPU #CPU #GPU http\xc9""",0.0
127,2016-06-14,'@danshep55 $goog red and $googl green interesting day',2.0
128,2016-06-14,'$SPY How I trade $SPY $IWM $DIA $QQQ $UVXY $AAPL $TSLA $PCLN $AMAT $AMZN $GOOGL $GOOG using $FB as example - https://t.co/C1jFv8vNAq',0.0
129,2016-06-14,'Apple Is Focused On Long-Term Success And Survival https://t.co/wRabh0Z7xj $AMZN $GOOG $GOOGL $AAPL',4.0
130,2016-06-14,"'@avleen I did like $GOOGL\'s TotT though, ""Testing on the Toilet"" Just the right amount of alliteration and humour'",4.0
131,2016-06-14,"'Apple Inc. (NASDAQ:AAPL) Plans To Enter The Energy Sector https://t.co/qq8CXFlQXK $AAPL, $GOOGL'",0.0
132,2016-06-14,'bto $GOOGL Jun 745c',0.0
133,2016-06-14,'Alphabet Inc $GOOGL Position Lowered by UMB Bank N A MO https://t.co/fzsW9xihkI',0.0
134,2016-06-14,'Alphabet Inc $GOOGL Position Raised by Windward Capital Management Co. CA https://t.co/unK4wbIHSB',0.0
135,2016-06-14,'Alphabet Inc Valuation \xd0 June 2016 $GOOGL https://t.co/Opbz9MFiJx via @ModernGraham',0.0
136,2016-06-14,"""Who are the winners and losers in big Net neutrality ruling? Can't tell from market. Both $GOOGL (winner) and $T (loser) are flattish/up.""",2.0
137,2016-06-14,'My days haul $MNST $FB $BMY $FMSA $GOOGL $HSIC $XOM $LGF 2 week long plays',3.0
138,2016-06-14,"""Please $googl I've held on to my $TWTR shares for this sole reason #lostmyass LinkedIn https://t.co/bBfwpaIymQ\xd3""",2.0
139,2016-06-14,'Still respecting\\u2026 $GOOGL https://t.co/iJ1K6TIyIY',0.0
140,2016-06-14,"""$GOOGL Google buying Twitter predicted to follow Microsoft's move for LinkedIn.. Buy the rumor small lot 734 order placed""",0.0
141,2016-06-14,'$GOOGL Long June $745 calls here',0.0
142,2016-06-14,"'$BIDU\rDouble bottom formation with bullish momentum divergence, in bear mrkt trading under 200d\r$GOOG $GOOGL $FB https://t.co/3dPzCF69B4'",0.0
143,2016-06-14,'$GOOGL back to green',0.0
144,2016-06-14,'$googl back in 740 calls',0.0
145,2016-06-14,'$GOOGL getting tight between that 50/200d',0.0
146,2016-06-14,'$TWTR Marketwatch Analysts believe $GOOGL needs social media play to compete with FB Snapchat - Twitter Periscope https://t.co/xR3QHWjLpA',0.0
147,2016-06-14,'$FB $AAPL $GOOGL $TWTR https://t.co/aeExG80fwo',0.0
148,2016-06-14,'$FB $AAPL $GOOGL $TWTR https://t.co/JFubuoIjDa',0.0
149,2016-06-14,'l $googl 735 weeklies for 3.50',0.0
150,2016-06-14,'#Google #buying #Twitter predicted to follow #Microsoft\xd5s move for #LinkedIn $TWRT $GOOGL #acquisiton #takeover https://t.co/B3xz8MjtZx',0.0
151,2016-06-14,"'Well, I do use Twitter more than LinkedIn. $GOOGL to buy $TWTR ? https://t.co/0nnoGoCdbJ'",0.0
152,2016-06-14,'#FANG stock ramping a bit. $GOOGL looking ok here.  740c not a bad bet.',-3.0
153,2016-06-14,"'The Sun backs #Brexit https://t.co/L1tutKDzd1 but who\'s ""backing"" The Sun? $SPY $GLD $DGX $FXY $FXI $UUP $USO $MSFT $GOOGL $FB'",3.0
154,2016-06-14,'$TWTR $CMCSA $NFLX $VZ $GOOGL $T:\r\rSlow Walk to High Court Is Best Strategy for Net Neutrality Foes:\r\rhttps://t.co/1hsjSyubuK',3.0
